age,education_level,gender,race,number_of_children,number_of_household_members,in_poverty_SPM,in_poverty_OPM,material_hardship,health_problem,in_poverty_SPM_y1,in_poverty_OPM_y1,material_hardship_y1,health_problem_y1,in_poverty_SPM_y2,in_poverty_OPM_y2,material_hardship_y2,health_problem_y2,SPM_household_resources,OPM_household_resources,SPM_household_resources_y1,OPM_household_resources_y1,SPM_household_resources_y2,OPM_household_resources_y2,SPM_income_to_needs,SPM_income_to_needs_y1,SPM_income_to_needs_y2,OPM_income_to_needs,OPM_income_to_needs_y1,OPM_income_to_needs_y2,faca,fach,facp
54,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,1,0. No,0,0. No,1. Yes,0,0,0. No,0,0,0,0. No,0,15658,50000,177652,240000,17426,30000,2. 100%-200%,4,2,4. 300%+,4. 300%+,3. 200%-300%,7756,7756,7756
45,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,206082,305000,282478,466941,179508,281834,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,13357,6678,13356
48,2. HS graduate or GED,1. Female,5. Hispanic,1,6,0. No,0,0. No,0. No,,,,,,,,,73837,115689,,,,,2. 100%-200%,4,4,4. 300%+,4. 300%+,4. 300%+,17461,3492,20952
54,4. Bachelor's degree or more,1. Female,3. Asian Non-Hispanic,1,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,423891,600000,397571,600000,186141,272145,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3370,1685,5055
50,2. HS graduate or GED,1. Female,5. Hispanic,0,3,1. Yes,0,1. Yes,1. Yes,1,1,1. Yes,1,1,0,1. Yes,1,17051,20400,12000,12000,26400,26400,1. Less than 100%,1,1,2. 100%-200%,1. Less than 100%,2. 100%-200%,18184,6061,18183
45,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,1,3,0. No,0,1. Yes,1. Yes,,,,,,,,,122863,167552,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3246,1623,4869
21,1. Less than HS,0. Male,2. Black Non-Hispanic,0,8,1. Yes,0,1. Yes,0. No,,,,,,,,,56381,53981,,,,,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+,37212,4652,37216
30,1. Less than HS,1. Female,5. Hispanic,2,4,0. No,0,0. No,0. No,,,,,,,,,52583,42000,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,26022,13011,52044
59,4. Bachelor's degree or more,1. Female,5. Hispanic,0,2,0. No,0,1. Yes,1. Yes,1,0,0. No,1,0,0,1. Yes,1,75767,78767,15591,14400,23015,18960,4. 300%+,1,2,4. 300%+,2. 100%-200%,2. 100%-200%,8643,4322,8644
44,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,2,1. Yes,0,1. Yes,0. No,0,0,1. Yes,0,,,,,19330,23086,131702,116233,,,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+,15657,7828,15656
53,1. Less than HS,1. Female,3. Asian Non-Hispanic,0,1,0. No,0,1. Yes,1. Yes,,,,,,,,,21015,12546,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,22400,22400,22400
60,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,3,0. No,0,0. No,0. No,,,,,,,,,192582,222068,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,18581,6194,18582
21,2. HS graduate or GED,1. Female,3. Asian Non-Hispanic,1,4,1. Yes,0,0. No,0. No,1,1,0. No,0,1,1,0. No,0,30095,28040,8646,7808,21763,3736,1. Less than 100%,1,1,2. 100%-200%,1. Less than 100%,1. Less than 100%,2567,856,3424
84,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,1. Yes,0,0,0. No,1,0,0,0. No,1,139440,139600,80209,82009,34644,35916,4. 300%+,4,3,4. 300%+,4. 300%+,3. 200%-300%,4606,4606,4606
58,1. Less than HS,1. Female,5. Hispanic,0,1,1. Yes,0,1. Yes,1. Yes,0,1,1. Yes,1,0,0,0. No,1,0,26000,26720,10416,31578,22200,1. Less than 100%,2,3,3. 200%-300%,1. Less than 100%,2. 100%-200%,2255,2255,2255
40,4. Bachelor's degree or more,1. Female,3. Asian Non-Hispanic,2,4,0. No,0,0. No,0. No,,,,,,,,,213408,236642,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,18119,9060,36240
72,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,87516,119254,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,5230,2615,5230
58,3. Some college or associat's degree,1. Female,5. Hispanic,3,4,0. No,1,1. Yes,1. Yes,1,1,1. Yes,1,0,1,1. Yes,1,31409,13444,23835,9816,28884,11400,2. 100%-200%,1,2,1. Less than 100%,1. Less than 100%,1. Less than 100%,1285,1285,5140
20,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,4,0. No,0,0. No,0. No,,,,,,,,,165820,211694,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,1867,467,1868
74,1. Less than HS,1. Female,5. Hispanic,0,1,0. No,0,1. Yes,1. Yes,,,,,,,,,27783,19462,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,9340,9340,9340
52,1. Less than HS,0. Male,2. Black Non-Hispanic,0,1,0. No,1,1. Yes,0. No,,,,,0,1,1. Yes,1,20386,9932,,,27436,8400,2. 100%-200%,4,2,1. Less than 100%,4. 300%+,1. Less than 100%,817,817,817
46,1. Less than HS,0. Male,2. Black Non-Hispanic,3,5,1. Yes,1,1. Yes,1. Yes,,,,,,,,,21029,18673,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,9327,4664,23320
57,1. Less than HS,1. Female,5. Hispanic,0,4,0. No,0,0. No,0. No,,,,,,,,,118116,104047,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,23415,5854,23416
33,4. Bachelor's degree or more,1. Female,5. Hispanic,2,4,0. No,0,0. No,0. No,,,,,,,,,221690,251000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,1794,897,3588
58,4. Bachelor's degree or more,1. Female,3. Asian Non-Hispanic,0,2,1. Yes,0,1. Yes,1. Yes,0,0,1. Yes,1,0,0,1. Yes,0,12953,24400,83400,105965,68274,95000,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+,4427,2214,4428
49,2. HS graduate or GED,0. Male,5. Hispanic,0,1,1. Yes,1,0. No,0. No,1,1,0. No,0,1,1,1. Yes,1,0,1828,13960,2249,4189,2100,1. Less than 100%,1,1,1. Less than 100%,1. Less than 100%,1. Less than 100%,3611,3611,3611
34,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,2,4,0. No,0,1. Yes,0. No,0,0,0. No,0,0,1,1. Yes,0,57803,63000,31894,21000,19826,10000,2. 100%-200%,2,2,3. 200%-300%,2. 100%-200%,1. Less than 100%,15423,7712,30848
35,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,6,8,0. No,0,0. No,0. No,,,,,,,,,62086,45000,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,1636,818,6544
36,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,120946,190669,65081,100000,115894,172713,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,30791,15396,30792
19,1. Less than HS,1. Female,5. Hispanic,1,3,1. Yes,1,1. Yes,0. No,,,,,,,,,26596,16395,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,15253,7626,22878
25,4. Bachelor's degree or more,1. Female,5. Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,34827,39000,69959,80000,131115,128000,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,4436,4436,4436
23,3. Some college or associat's degree,1. Female,5. Hispanic,0,3,0. No,0,1. Yes,0. No,1,0,1. Yes,0,,,,,31505,32633,26173,31098,,,2. 100%-200%,1,4,2. 100%-200%,2. 100%-200%,4. 300%+,6007,2002,6006
58,1. Less than HS,1. Female,4. Other / MultiRacial,0,2,1. Yes,1,1. Yes,1. Yes,0,0,1. Yes,0,0,0,0. No,0,499,3000,46150,54371,50834,61390,1. Less than 100%,3,3,1. Less than 100%,3. 200%-300%,4. 300%+,4267,2134,4268
26,2. HS graduate or GED,0. Male,5. Hispanic,2,5,1. Yes,1,1. Yes,0. No,,,,,,,,,34503,16001,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,37212,12404,62020
72,4. Bachelor's degree or more,1. Female,4. Other / MultiRacial,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,1,74620,80000,397571,600000,87261,94868,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,1403,1403,1403
37,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,1,0. No,0,1. Yes,0. No,0,0,1. Yes,0,0,0,1. Yes,0,22517,25600,31943,33500,45634,65000,2. 100%-200%,3,4,3. 200%-300%,3. 200%-300%,4. 300%+,3249,3249,3249
81,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,,,,,,,,,16334,16440,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,6378,6378,6378
54,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,0,1,1. Yes,1,1,1,,1,18320,16000,23172,9000,14379,6898,2. 100%-200%,2,1,2. 100%-200%,1. Less than 100%,1. Less than 100%,4727,4727,4727
59,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,2,3,0. No,0,0. No,1. Yes,1,1,1. Yes,1,,,,,70342,78850,17257,17000,,,3. 200%-300%,1,4,4. 300%+,1. Less than 100%,4. 300%+,0,0,0
50,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,,,,,,,,,73545,120000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,7756,7756,7756
69,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,4,0. No,0,0. No,0. No,,,,,,,,,46000,48000,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,24378,6094,24376
42.57522393,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,0. No,0,0,0. No,0,1,0,0. No,0,51678,70063,112683,139180,75947,120429,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3884,1942,3884
33,3. Some college or associat's degree,0. Male,5. Hispanic,0,2,0. No,0,1. Yes,1. Yes,,,,,,,,,35719,31991,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,3118,1559,3118
27,1. Less than HS,1. Female,5. Hispanic,2,4,1. Yes,1,1. Yes,1. Yes,,,,,,,,,25481,5400,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,10852,5426,21704
18,2. HS graduate or GED,1. Female,5. Hispanic,0,4,1. Yes,0,1. Yes,0. No,,,,,,,,,27627,27627,,,,,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+,4718,1180,4720
44,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,2,4,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,106452,160000,75614,95060,110747,160878,4. 300%+,3,4,4. 300%+,4. 300%+,4. 300%+,1594,797,3188
39,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,3,4,0. No,0,0. No,0. No,,,,,,,,,43306,57369,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,2770,2770,11080
32,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,103233,150000,126467,241354,89480,172885,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,6107,3054,6108
57,2. HS graduate or GED,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,1. Yes,,,,,,,,,102818,130066,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,2625,1312,2624
58,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,,,,,,,,,34253,55000,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,11998,11998,11998
60,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,111097,160000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,8117,4058,8116
72,3. Some college or associat's degree,1. Female,5. Hispanic,2,4,0. No,0,0. No,0. No,1,0,0. No,0,0,0,0. No,1,88368,85389,7852,20115,21735,12036,3. 200%-300%,1,2,4. 300%+,2. 100%-200%,2. 100%-200%,5664,2832,11328
32,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,1,0. No,0,0. No,1. Yes,0,0,0. No,0,0,0,1. Yes,0,47443,65000,75027,97112,43891,55000,4. 300%+,4,3,4. 300%+,4. 300%+,4. 300%+,33898,33898,33898
26,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,177866,178293,97543,99012,108936,117647,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,17575,5858,17574
88,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,1. Yes,,,,,,,,,125767,126067,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,6599,3300,6600
59,3. Some college or associat's degree,0. Male,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,64981,96060,69759,109000,66090,98512,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,4301,4301,4301
39,3. Some college or associat's degree,0. Male,4. Other / MultiRacial,0,2,0. No,0,1. Yes,1. Yes,1,1,1. Yes,1,0,0,1. Yes,1,87111,73642,0,7100,58041,36833,4. 300%+,1,3,4. 300%+,1. Less than 100%,3. 200%-300%,4743,2372,4744
59,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,1,5,0. No,0,0. No,0. No,,,,,,,,,124710,154359,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,22714,5678,28390
42,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,3,4,0. No,0,1. Yes,1. Yes,1,1,1. Yes,1,,,,,109826,106198,24705,3506,,,4. 300%+,1,4,4. 300%+,1. Less than 100%,4. 300%+,3555,3555,14220
50,3. Some college or associat's degree,1. Female,1. White Non-Hispanic,1,4,0. No,0,0. No,1. Yes,0,0,0. No,1,0,0,1. Yes,1,54648,70000,124142,131500,57819,80824,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,4136,1379,5516
66,3. Some college or associat's degree,1. Female,4. Other / MultiRacial,0,2,0. No,0,0. No,1. Yes,0,0,,0,0,0,0. No,1,52115,52003,77042,100722,92317,97960,3. 200%-300%,4,3,4. 300%+,4. 300%+,4. 300%+,3170,1585,3170
26,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,,,,,112728,140000,114459,180000,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,16537,8268,16536
50,1. Less than HS,1. Female,5. Hispanic,1,3,0. No,0,1. Yes,1. Yes,,,,,,,,,57023,36507,,,,,3. 200%-300%,4,4,2. 100%-200%,4. 300%+,4. 300%+,8988,4494,13482
73,1. Less than HS,1. Female,5. Hispanic,2,3,0. No,0,0. No,1. Yes,,,,,,,,,59327,47427,,,,,3. 200%-300%,4,4,3. 200%-300%,4. 300%+,4. 300%+,5407,5407,16221
46,3. Some college or associat's degree,0. Male,5. Hispanic,2,4,0. No,0,0. No,0. No,,,,,,,,,132822,149960,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,760,380,1520
71,1. Less than HS,1. Female,5. Hispanic,0,1,0. No,0,0. No,1. Yes,0,1,1. Yes,1,0,1,1. Yes,1,60215,51990,23799,10692,22815,10644,4. 300%+,2,2,4. 300%+,1. Less than 100%,1. Less than 100%,12727,12727,12727
51,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,1. Yes,0,0,1. Yes,1,0,0,0. No,1,138353,150274,30064,38000,19980,25692,4. 300%+,2,2,4. 300%+,4. 300%+,3. 200%-300%,2713,1356,2712
33,4. Bachelor's degree or more,0. Male,2. Black Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,61024,124000,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,6394,3197,6394
19,2. HS graduate or GED,0. Male,5. Hispanic,0,3,1. Yes,1,1. Yes,0. No,,,,,,,,,13905,14041,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,12795,4265,12795
75,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,,,,,,,,,60350,65967,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,5079,5079,5079
44,3. Some college or associat's degree,1. Female,5. Hispanic,2,4,0. No,0,1. Yes,0. No,0,0,0. No,1,,,,,43703,54000,110976,133390,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,990,495,1980
25,3. Some college or associat's degree,0. Male,3. Asian Non-Hispanic,0,3,0. No,0,0. No,0. No,,,,,,,,,99815,86505,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,16424,5475,16425
44,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,1,1. Yes,1,1. Yes,1. Yes,0,1,1. Yes,0,1,1,1. Yes,1,11360,477,23331,6250,14252,7000,1. Less than 100%,2,1,1. Less than 100%,1. Less than 100%,1. Less than 100%,1594,1594,1594
91,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,1,21172,13320,30279,12492,24866,12732,2. 100%-200%,3,2,2. 100%-200%,2. 100%-200%,2. 100%-200%,3813,3813,3813
69,2. HS graduate or GED,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,1. Yes,1,0,0,1. Yes,1,56862,57000,24018,13000,47500,49200,3. 200%-300%,2,3,4. 300%+,2. 100%-200%,4. 300%+,15916,7958,15916
89,3. Some college or associat's degree,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,1. Yes,,,,,,,,,19094,25000,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,8607,8607,8607
47,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,1,1,0. No,0,0,0,0. No,0,116282,180000,0,0,188426,315000,4. 300%+,1,4,4. 300%+,1. Less than 100%,4. 300%+,940,940,940
44,4. Bachelor's degree or more,0. Male,2. Black Non-Hispanic,1,3,0. No,0,0. No,0. No,1,0,1. Yes,0,0,0,0. No,0,49377,63000,3533,93000,185629,221039,3. 200%-300%,1,4,4. 300%+,4. 300%+,4. 300%+,4367,2184,6552
53,1. Less than HS,0. Male,2. Black Non-Hispanic,0,4,1. Yes,1,1. Yes,1. Yes,1,0,1. Yes,1,0,0,1. Yes,1,15334,14971,36859,35164,21472,21517,1. Less than 100%,1,2,1. Less than 100%,2. 100%-200%,2. 100%-200%,10447,2612,10448
83,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,2,1. Yes,0,0. No,0. No,,,,,,,,,12528,95650,,,,,1. Less than 100%,4,4,4. 300%+,4. 300%+,4. 300%+,8097,4048,8096
23,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,4,0. No,0,0. No,0. No,1,0,0. No,0,0,0,0. No,0,64567,70468,30570,30750,99987,100287,3. 200%-300%,1,3,3. 200%-300%,2. 100%-200%,4. 300%+,7959,1990,7960
20,3. Some college or associat's degree,0. Male,5. Hispanic,1,4,0. No,0,0. No,0. No,0,0,0. No,0,1,0,0. No,0,116538,115000,87571,94000,25641,33142,4. 300%+,3,1,4. 300%+,4. 300%+,2. 100%-200%,9914,3305,13220
52,1. Less than HS,0. Male,2. Black Non-Hispanic,0,1,0. No,1,1. Yes,0. No,1,1,0. No,0,0,1,1. Yes,0,20955,10790,10251,797,20909,9600,2. 100%-200%,1,2,1. Less than 100%,1. Less than 100%,1. Less than 100%,1307,1307,1307
72,1. Less than HS,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,,,,,,,,,79067,68347,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,6911,6911,6911
34,2. HS graduate or GED,1. Female,5. Hispanic,1,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,39406,35503,139397,187873,53032,57008,2. 100%-200%,4,2,3. 200%-300%,4. 300%+,3. 200%-300%,1346,1346,2692
32,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,84928,130000,141939,216200,78432,120000,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,11894,11894,11894
45,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,1,0. No,1,1. Yes,0. No,,,,,,,,,15033,6816,,,,,2. 100%-200%,4,4,1. Less than 100%,4. 300%+,4. 300%+,1232,1232,1232
39,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,2,4,0. No,0,0. No,0. No,,,,,,,,,79472,83000,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,2096,1048,4192
32,1. Less than HS,0. Male,5. Hispanic,0,1,1. Yes,1,1. Yes,0. No,,,,,,,,,10103,3362,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,10050,10050,10050
55,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,1. Yes,0,31435,33981,78082,123345,29243,27705,3. 200%-300%,4,2,3. 200%-300%,4. 300%+,3. 200%-300%,917,917,917
32,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,88566,176247,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3594,1797,3594
56,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,0. No,0,0,1. Yes,0,0,1,1. Yes,0,102847,100183,129775,118121,29326,7800,4. 300%+,4,2,4. 300%+,4. 300%+,1. Less than 100%,3019,1510,3020
59,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,119531,134000,124756,132806,244762,251041,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,2656,885,2655
20,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,2,4,1. Yes,1,0. No,0. No,1,1,1. Yes,0,1,1,1. Yes,0,26871,9521,11630,5757,12496,127,1. Less than 100%,1,1,1. Less than 100%,1. Less than 100%,1. Less than 100%,735,368,1472
48,3. Some college or associat's degree,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,133325,210784,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,17217,8608,17216
41.23681491,3. Some college or associat's degree,1. Female,4. Other / MultiRacial,0,1,0. No,0,1. Yes,0. No,,,,,,,,,46457,55000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3591,3591,3591
80,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,1,0. No,0,1. Yes,0. No,,,,,,,,,28025,31000,,,,,3. 200%-300%,4,4,3. 200%-300%,4. 300%+,4. 300%+,19208,19208,19208
52,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,1. Yes,,,,,0,0,0. No,1,45146,31281,,,31221,29468,3. 200%-300%,4,2,3. 200%-300%,4. 300%+,2. 100%-200%,5922,2961,5922
35,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,160639,250000,280128,450000,241372,390000,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,9999,9999,9999
38,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,4,6,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,385633,600000,397571,600000,388599,488666,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,8789,4394,26364
73,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,73690,67960,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,10799,5400,10800
47,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,1,1. Yes,0,1. Yes,1. Yes,1,1,1. Yes,1,1,0,1. Yes,1,13895,16960,10575,10500,13515,13400,1. Less than 100%,1,1,2. 100%-200%,1. Less than 100%,2. 100%-200%,2373,2373,2373
61,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,0. No,1,1,1. Yes,1,1,1,1. Yes,1,52548,38287,16881,2872,13124,1092,3. 200%-300%,1,1,3. 200%-300%,1. Less than 100%,1. Less than 100%,0,0,0
58,3. Some college or associat's degree,1. Female,1. White Non-Hispanic,0,2,0. No,0,1. Yes,1. Yes,0,0,0. No,1,0,0,0. No,1,72421,92600,59445,70908,136006,189428,4. 300%+,3,4,4. 300%+,4. 300%+,4. 300%+,12145,6072,12144
18,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,6,8,0. No,0,1. Yes,0. No,1,1,0. No,0,0,0,,0,149462,124816,17905,14717,32989,45704,4. 300%+,1,3,4. 300%+,1. Less than 100%,4. 300%+,1923,962,7696
85,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,,,,,,,,,28422,30422,,,,,3. 200%-300%,4,4,3. 200%-300%,4. 300%+,4. 300%+,3157,3157,3157
63,3. Some college or associat's degree,1. Female,1. White Non-Hispanic,1,3,1. Yes,1,1. Yes,1. Yes,,,,,,,,,27300,9564,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,12344,6172,18516
64,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,0. No,0,0,0. No,0,0,0,0. No,0,105368,105978,106836,114395,51469,51760,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,9738,4869,9738
39,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,96464,115527,183597,203117,162465,199649,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,9366,3122,9366
56,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,0,4,1. Yes,0,1. Yes,0. No,,,,,,,,,28008,39000,,,,,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+,2115,529,2116
31,4. Bachelor's degree or more,0. Male,5. Hispanic,0,3,0. No,0,0. No,0. No,,,,,,,,,212272,260000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,1405,468,1404
