subject_id,q5a1,q5a2,q5a3_1,q5a3_2,q5a3_3,q5a3_4,q5a3_5,q5a3_6,q5a3_7,q5a3_8,q5a4_1,q5a4_2,q5a4_3,q5a4_4,q5a4_5,q5a4_6,q5a4_7,q5a4_8,q5a4_9,q5a4_10,q5a4_11,q5a5,q5a6,q5a7,q5a7x,q5a8,q5a9,q5a10,q5a11,q5a12,q5a14,q5b1,q5b2,q5b2x,q5b3,q5b3x,q5b4,q5b5,q5b5x,q5b6,q5b6x,q5c1,q5c1a,q5c1x,q5c2,q5c2a,q5c2x,q5c3,q5c3a,q5c3x,q5c4,q5c4a,q5c4x,q5c5,q5c5a,q5c5x,q5c6,q5c6a,q5c6x,q5c7,q5c7a,q5c7x,q5c8,q5c8a,q5c8x,q5c9,q5c9a,q5c9x,q5c10,q5c10a,q5c10x,q5c11,q5c11a,q5c11x,q5c12,q5c12a,q5c12x,q5c13,q5c13a,q5c13x,q5c14,q5c14a,q5c14x,q5c15,q5c15a,q5c15x,q5c16,q5c16a,q5c16x,q5c17,q5c17a,q5c17x,q5c18,q5c18a,q5c18x,q5c19,q5c19a,q5c19x,q5c20,q5c20a,q5c20x,q5c21,q5c21a,q5c21x,q5c22,q5c22a,q5c22x,q5c23,q5c23a,q5c23x,q5c24,q5c24a,q5c24x,q5c25_1,q5c25_1a,q5c25_1x,q5c25_2,q5c25_2a,q5c25_2x,q5c25_3,q5c25_3a,q5c25_3x,q5c25_4,q5c25_4a,q5c25_4x,q5c25_5,q5c25_5a,q5c25_5x
536,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,3,0,0,0,2,3,,,,,,,,,,,2,,475,2,,150,2,,20,2,,250,2,,55,2,,50,4,,,2,,200,2,,138,4,,,3,,500,3,,500,2,,35,4,,,4,,,2,,200,4,,,4,,,2,,250,3,,1200,4,,,2,,40,4,,,2,,200,2,DOG CARE,30,2,GIFTS,50,,,,,,,,,
537,1,0,0,0,0,0,0,0,,,1,0,0,0,0,1,1,0,0,0,0,,0,,,3,0,0,0,3,2,,,,,,,,,,,1,,150,1,,35,3,,30,3,,500,3,,100,3,,400,3,,6000,3,,1400,3,,2400,3,,1600,3,,500,3,,400,3,,300,4,,,,,,,,,4,,,4,,,3,,200,3,,3000,4,,,3,,1500,4,,,3,,3500,,,,,,,,,,,,,,,
538,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,1,0,2,4,,,,,,,,,,,2,,550,1,,100,4,,,3,,200,1,,30,1,,35,2,,180,2,,180,2,,120,4,,,3,,1000,3,,500,1,,40,2,,220,,,,,,,4,,,2,,300,4,,,3,,2000,4,,,1,,30,1,,40,4,,,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,5,,,,,,,,,,,2,,1200,4,,,4,,,3,,1000,3,,200,3,,100,4,,,2,,150,4,,,4,,,98,98,,4,,,2,,50,4,,,,,,,,,4,,,4,,,4,,,3,,1000,4,,,2,,20,4,,,2,,100,,,,,,,,,,,,,,,
544,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,1,1,While on medical leave of absence I was terminated from my place of employment.,2,0,0,0,1,2,,,,,,,,,,,2,,189,4,,,4,,,2,,50,2,,40,2,,75,2,,80,2,,200,2,,114,4,,,4,,,4,,,2,,45,4,,,,,,,,,4,,,4,,,4,,,4,,,1,,13,2,,50,4,,,4,,,2,LIFE INSURANCE,118,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,0,0,2,4,,,,,,,,,98,,2,,300,2,,100,4,,,2,,100,2,,50,2,,75,4,,,2,,90,2,,120,4,,,2,,50,4,,,2,,30,2,,20,,,,,,,4,,,4,,,2,,30,2,,40,4,,,2,,25,2,,30,4,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,3,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,1,1,0,0,,0,,,2,0,0,0,1,5,,,,,,,,,,,1,,150,4,,,4,,,4,,,4,,,2,,20,4,,,2,,90,2,,122,4,,,4,,,4,,,2,,20,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,1,,7,4,,,4,,,3,MEDICAL EXPENSES,2000,,,,,,,,,,,,
554,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,2,,,,,,,,,,,1,,100,1,,150,4,,,2,,300,1,,20,2,,50,2,,100,2,,200,2,,100,4,,,3,,500,4,,,2,,25,4,,,2,,250,2,,1200,4,,,4,,,3,,400,3,,4000,4,,,2,,100,4,,,2,,120,,,,,,,,,,,,,,,
555,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,3,,,,,,,,,,,98,98,,98,98,,98,98,,98,4,,98,4,,98,98,,98,3,,2,,200,98,3,,98,98,,98,3,,98,98,,98,98,,98,9,,,,,,,,98,3,,4,,,98,3,,98,6,,4,,,98,3,,98,1,,98,98,,,,,,,,,,,,,,,,
556,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,0,0,2,5,,,,,,,,,,,2,,750,2,,30,4,,,4,,,2,,20,2,,60,2,,39,2,,27,4,,,4,,,4,,,4,,,2,,60,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,2,,30,2,,10,4,,,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,,3,0,0,0,3,2,,,,,,,,,,,1,,300,1,,300,1,,100,1,,30,1,,40,1,,25,4,,,1,,75,1,,10,4,,,1,,25,1,,10,1,,80,1,,100,4,,,4,,,3,,40000,4,,,2,,150,3,,10000,4,,,1,,80,1,,80,1,,50,,,,,,,,,,,,,,,
561,3,0,0,0,0,0,1,1,,,0,0,1,0,0,0,0,0,0,0,0,,1,1,4 MORE RADIATION TREATMENTS AND THEN IM FINALLY DONE:))) FEEL GOOD!,98,0,0,0,2,3,,,,,,,,,1,1700,2,,110,1,,35,1,,5,2,,57,2,,30,2,,10,4,,,2,,100,4,,,4,,,4,,,4,,,2,,10,4,,,,,,,,,3,,200,2,,700,4,,,4,,,4,,,1,,45,4,,,4,,,2,GIFTS,30,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,1,,,,,,,,,1,2000,2,,300,2,,150,2,,150,3,,600,3,,350,2,,10,2,,65,2,,65,2,,85,4,,,3,,100,4,,,2,,5,2,,165,,,,,,,4,,,4,,,3,,350,98,5,,4,,,1,,30,4,,,4,,,,,,,,,,,,,,,,,
566,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,1,1,2,5,,,,,,,,,1,1100,2,,500,2,,100,4,,,2,,100,1,,25,2,,100,4,,,2,,150,2,,149,4,,,4,,,4,,,2,,25,4,,,,,,,,,4,,,4,,,2,,50,3,,800,4,,,2,,120,4,,,2,,86,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,97,,3,0,0,0,3,3,1,,,1,1400,,,,,,2,,800,1,,200,4,,,3,,1000,4,,,3,,300,3,,4000,2,,100,2,,140,3,,2000,3,,1000,3,,200,3,,200,4,,,4,,,4,,,4,,,4,,,2,,100,3,,4000,4,,,2,,200,4,,,2,,150,3,PET CARE,200,,,,,,,,,,,,
569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,3,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,1,0,0,1,1,Lost health insurance.,3,0,0,1,1,1,,,,,,,,,1,5000,2,,200,2,,100,4,,,3,,500,3,,500,3,,500,4,,,2,,200,2,,500,4,,,3,,500,3,,500,2,,400,2,,500,,,,,,,4,,,4,,,3,,2000,3,,3000,3,,100,3,,2000,3,,1500,3,,1500,,,,,,,,,,,,,,,
571,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,1,,,,,,,,,,,1,,150,1,,100,1,,20,98,5,,1,,10,1,,5,2,,70,4,,,2,,98,4,,,98,4,,3,,400,98,1,,4,,,,,,,,,4,,,4,,,2,,130,98,7,,4,,,2,,224,98,1,,2,,200,,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,"I am negotiation a change in responsibility at my workplace. After 24 years at the same place, this is risky and causing more stress.",3,0,0,0,3,3,,2,,98,,,,,,,4,,,4,,,4,,,3,,1000,3,,1500,3,,3000,2,,400,2,,300,2,,160,98,4,,98,5,,2,,50,2,,100,4,,,4,,,3,,2000,3,,60000,4,,,2,,50,3,,3000,2,,100,2,,300,2,,50,4,,,,,,,,,,,,,,,,,
574,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,0,0,1,2,1,,,1,400,,,,,,2,,600,4,,,4,,,2,,20,2,,40,2,,30,2,,85,2,,100,4,,,4,,,4,,,4,,,2,,40,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,2,,20,4,,,4,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,2,1,0,1,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,1,1,2,97,,,,,,,,,,,1,,150,1,,100,4,,,2,,200,1,,30,2,,100,2,,130,2,,180,2,,103,4,,,3,,300,3,,400,2,,40,4,,,4,,,4,,,4,,,4,,,2,,50,1,,50,4,,,1,,30,4,,,4,,,2,PET CARE,50,1,LOTTERY,5,,,,,,,,,
578,3,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,0,0,0,0,,0,,,2,0,0,0,2,4,,,,,,,,,1,1500,2,,800,4,,,4,,,2,,200,4,,,2,,100,2,,150,2,,145,4,,,4,,,4,,,4,,,2,,35,4,,,,,,,,,4,,,4,,,2,,10,4,,,4,,,4,,,4,,,4,,,2,MEDICINE (CO-PAYMENTS),500,,,,,,,,,,,,
579,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,,1,1,an accident,1,0,1,0,1,2,,,,,,,,,,,2,,200,2,,100,4,,,4,,,2,,50,2,,50,2,,50,2,,50,2,,200,4,,,4,,,4,,,4,,,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,2,,60,4,,,4,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,0,0,3,2,,,,,,,,,,,97,4,,97,98,,97,98,,98,98,,4,,,4,,,97,2,,97,2,,97,2,,97,2,,98,98,,98,98,,97,98,,98,98,,97,4,,4,,,4,,,4,,,4,,,4,,,4,,,97,4,,97,1,,97,4,,,,,,,,,,,,,,,,
583,3,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,1,0,0,0,,0,,,3,0,0,0,3,3,1,,,1,1080,,,,,,2,,600,2,,200,4,,,1,,50,4,,,2,,100,2,,380,2,,87,4,,,2,,117,4,,,4,,,4,,,4,,,,,,,,,4,,,4,,,1,,140,4,,,4,,,4,,,4,,,1,,50,,,,,,,,,,,,,,,
584,3,0,0,0,0,0,0,0,,,1,0,0,0,1,0,1,1,0,0,0,,1,1,Problemas de Salud y aun incrementado,1,0,0,0,1,5,,,,,,,,,,,98,1,,4,,,4,,,4,,,4,,,2,,180,4,,,4,,,2,,200,4,,,3,,500,4,,,2,,100,4,,,,,,,,,4,,,4,,,4,,,3,,2000,4,,,1,,30,4,,,4,,,1,NIETOS,100,1,IGLESIA,5,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,,1,1,The a charge against me was decided by a court (Judge) to be a lie. Children that I raised from birth are or maybe have been adopted and I am devastated at the possibility.,2,0,0,1,2,97,,,,,,,,,,,2,,350,2,,75,4,,,2,,175,2,,50,2,,50,4,,,2,,90,2,,160,4,,,2,,100,97,97,,2,,25,4,,,4,,,2,,300,4,,,4,,,2,,50,4,,,1,,2,2,,23,2,,12,4,,,2,LOTTERY TICKETS,6,2,MEDICAL CO-PAY AND SCRIPTS,100,2,HOUSEHOLD MAINTENANCE WINDOWS ETC,50,2,HAIR CUTS,20,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,1,0,1,0,,,2,0,1,0,2,97,,,,,,,,,,,1,,100,1,,30,4,,,2,,200,1,,30,2,,50,2,,130,4,,,4,,,4,,,4,,,4,,,2,,50,4,,,,,,,,,4,,,4,,,4,,,4,,,1,,24,2,,150,1,,40,4,,,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,1,0,97,97,97,97,97,97,,,97,97,97,97,97,97,97,97,97,97,97,,97,,,97,97,97,97,97,97,,,,,,,,,,,2,,200,2,,100,3,,300,3,,1000,3,,200,3,,1000,3,,3500,2,,200,4,,,3,,3000,3,,1000,3,,5000,3,,1500,4,,,,,,,,,3,,500,4,,,3,,500,3,,6000,4,,,3,,500,3,,200,3,,1000,3,LOTTERY TICKETS,1000,,,,,,,,,,,,
595,1,0,0,0,0,0,0,0,,,0,1,0,0,0,0,1,0,0,0,0,,0,,,3,0,0,0,1,4,,,,,,,,,98,,2,,300,2,,25,2,,25,2,,100,2,,20,2,,30,4,,,2,,100,2,,150,4,,,4,,,4,,,2,,20,4,,,,,,,,,4,,,4,,,4,,,4,,,2,,40,2,,20,4,,,4,,,,,,,,,,,,,,,,,
596,3,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,,1,1,daughter visisted,1,0,0,0,1,3,,1,,,,3,1,950,,,2,,500,1,,50,4,,,4,,,2,,60,2,,100,2,,200,2,,200,2,,100,4,,,4,,,4,,,2,,60,4,,,4,,,4,,,4,,,2,,500,2,,20,3,,2000,4,,,2,,112,2,,80,4,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,2,1,,,98,,,,,,,2,,600,2,,300,98,1,,2,,200,4,,,98,1,,2,,200,2,,200,2,,50,98,2,,3,,500,98,1,,98,1,,4,,,,,,,,,4,,,4,,,4,,,3,,6000,4,,,98,3,,98,99,,2,,350,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,3,0,0,0,0,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,1,1,Went past time at work due to school,3,0,0,0,2,2,,,,,,,,,,,1,,100,2,,150,2,,100,2,,150,3,,200,2,,75,2,,90,2,,120,2,,80,4,,,4,,,3,,50,2,,75,4,,,,,,,,,3,,3000,4,,,2,,50,98,6,,4,,,2,,112,2,,150,4,,,3,GIFTS,200,,,,,,,,,,,,
601,3,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,0,0,1,1,3,,,,,,,,,,,2,,300,2,,300,2,,30,3,,500,3,,200,3,,200,98,98,,2,,120,4,,,4,,,4,,,4,,,3,,200,4,,,,,,,,,4,,,4,,,4,,,3,,200,4,,,3,,1000,3,,1500,2,,100,,,,,,,,,,,,,,,
603,3,0,0,0,0,1,0,0,,,0,1,0,0,1,0,0,0,0,0,0,,1,1,thyroid surgery; blood clot in leg; alot of pain ,2,0,0,0,2,4,,,,,,,,,,,1,,100,4,,,4,,,2,,400,2,,200,2,,100,2,,150,2,,325,2,,160,4,,,4,,,4,,,2,,100,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,1,,100,2,,100,2,,400,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,2,,,,,,,,,1,2000,97,2,,97,1,,97,1,,97,4,,97,1,,97,1,,97,2,,97,2,,97,2,,4,,,97,3,,97,2,,97,2,,97,2,,,,,,,,4,,,4,,,97,3,,97,6,,4,,,97,2,,97,1,,4,,,,,,,,,,,,,,,,,
606,3,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,0,0,0,0,,0,,,3,0,0,0,2,2,,,,,,,,,1,1600,2,,300,2,,300,2,,50,3,,500,2,,50,3,,750,2,,65,2,,85,2,,99,4,,,3,,150,3,,100,3,,100,4,,,,,,,,,3,,300,4,,,2,,100,4,,,4,,,2,,112,2,,30,4,,,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,1,1,0,1,2,,,,,,,,,,,97,1,,97,3,,4,,,4,,,98,3,,97,2,,97,2,,97,2,,4,,,97,2,,97,2,,97,9,,97,2,,97,9,,,,,,,,4,,,97,2,,4,,,4,,,4,,,97,2,,97,98,,4,,,2,NO RESPONSE,50,,,,2,NO RESPONSE,50,,,,2,NO RESPONSE,50
609,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,I had to have emergency surgery for an anuresym in the brain.,3,0,0,0,2,4,,,,,,,,,,,1,,100,2,,50,4,,,3,,600,2,,50,2,,60,4,,,2,,115,2,,155,4,,,3,,200,3,,200,2,,60,4,,,4,,,4,,,4,,,4,,,2,,20,4,,,4,,,2,,30,2,,30,4,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,3,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,2,2,1,,,99,,,,,,,1,,50,4,,,4,,,4,,,1,,10,3,,100,2,,500,2,,100,4,,,4,,,99,99,,4,,,2,,10,4,,,,,,,,,4,,,4,,,4,,,4,,,4,,,2,,112,4,,,4,,,,,,,,,,,,,,,,,
613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,3,0,0,0,3,3,1,,,1,2200,,,,,,1,,200,1,,100,1,,25,3,,1000,1,,20,2,,100,4,,,2,,220,2,,60,4,,,3,,500,3,,300,2,,240,4,,,4,,,3,,700,4,,,4,,,1,,200,3,,10000,4,,,2,,120,2,,20,2,,200,,,,,,,,,,,,,,,
